book,chapter,verse,text
Постање,1,1,У почетку створи Бог небо и земљу.
Постање,1,2,"Земља беше пуста и празна; над безданом беше тама, и дух Божји лебдијаше над водама."
Постање,1,3,Бог рече: Нека буде светлост. И би светлост.
Постање,1,4,Бог виде да је светлост добра; и Бог растави светлост од таме.
Постање,1,5,"Светлост назва Бог дан, а таму назва ноћ. Тако би вече и би затим јутро. То је био први дан."
Постање,1,6,"Бог рече: Нека буде простор између вода, да раставља воде од вода."
Постање,1,7,"И Бог створи простор, и растави воде под простором од вода над простором. И би тако."
Постање,1,8,"Простор назва Бог небо. И би вече, и би јутро, и то је био други дан."
Постање,1,9,"Бог рече: Нека се саберу воде што су под небом на једно место, и нека се покаже сухо. И би тако."
Постање,1,10,"Сухо назва Бог земљом, а зборишта водена назва морима. И Бог виде да је то добро."
Постање,1,11,"Затим Бог рече: Нека пусти земља из себе траву, биље што носи семе, и дрвеће родно, које даје плод по врстама својим, у коме ће бити семе његово на земљи. И би тако."
Постање,1,12,"И земља пусти из себе траву, биље што носи семе по врстама својим, и дрвеће које даје плод, у коме је семе његово по врстама његовим. И Бог виде да је то добро."
Постање,1,13,"И би вече и би јутро, и то је био трећи дан."
Постање,1,14,"Бог рече: Нека буду светлила у простору небеском, да деле дан и ноћ, да буду знаци који ће обележити времена, дане и године;"
Постање,1,15,"и нека светле на простору небеском, да обасјавају земљу. И би тако."
Постање,1,16,"И Бог створи два светлила велика: светлило веће, да управља даном, и светлило мање, да управља ноћу, и створи и звезде."
Постање,1,17,"Бог их постави у простор небески, да обасјавају земљу"
Постање,1,18,и да управљају даном и ноћу и да деле светлост од таме. И Бог виде да је то добро.
Постање,1,19,"И би вече и би јутро, и то је био четврти дан."
Постање,1,20,Бог рече: Нек проврве воде живим животињама и нека лете птице изнад земље к простору небескоме.
Постање,1,21,"И Бог створи рибе велике и све живе животиње што се мичу, које проврвеше по водама, по врстама својим, и све птице крилате, по врстама њиховим. И Бог виде да је то добро."
Постање,1,22,"И Бог их благослови говорећи: Рађајте се, множите се и напуните воде морске; и птице нек се множе на земљи."
Постање,1,23,"И би вече и би јутро, и то је био пети дан."
Постање,1,24,"Бог рече: Нека земља пусти из себе живе животиње, по врстама њиховим, стоку, гмизавце и звери земаљске по врстама њиховим. И би тако."
Постање,1,25,"И Бог створи животиње земаљске, по врстама њиховим, и стоку по врстама њезиним, и све гмизавце на земљи по врстама њиховим. И Бог виде да је то добро."
Постање,1,26,"Затим Бог рече: Да начинимо човека по обличју и по прилици нашој, па нека има он власт над рибама морским и над птицама небеским и над животињама и над целом земљом, и над свим гмизавцима који гамижу по земљи."
Постање,1,27,И Бог створи човека по обличју своме; по обличју Божјему створи га; створи човека и жену.
Постање,1,28,"И благослови их, и рече им Бог: Рађајте се, множите се и напуните земљу, и владајте њом, и имајте власт над рибама морским и над птицама небеским, и над свим животињама које се по земљи мичу."
Постање,1,29,Још рече Бог: Ево дајем вам све биље што носи семе по свој земљи и сва дрвета родна која семе носе. То да вам је за храну вашу.
Постање,1,30,"А свим животињама земаљским и свим птицама небеским, и свему што се миче на земљи, и у чему има даха живота, дајем сву траву зелену за храну. И би тако."
Постање,1,31,"Тада погледа Бог све што је створио, и гле, све добро беше. И би вече и би јутро, и то је био шести дан."
Постање,2,1,Тако се довршише небеса и земља и сва војска њихова.
Постање,2,2,"До седмога дана сврши Бог дело своје, које учини; и почину у седми дан од свих дела својих која учини."
Постање,2,3,"Бог благослови седми дан и посвети га, јер у тај дан почину од свих дела својих, која стварањем учини."
Постање,2,4,"То је постање неба и земље, кад беху створени."
Постање,2,5,Кад Господ
Постање,2,6,Али се подизаше пара са земље која натапаше сву земљу.
Постање,2,7,"Господ, Бог, створи човека од праха земаљскога и дуну му у нос дах живота; и човек поста живо биће."
Постање,2,8,"Господ, Бог, насади затим врт у Едему према истоку, и онде намести човека кога створи."
Постање,2,9,"Господ, Бог, учини те из земље никоше свакојака дрвета лепа за гледање и добра за јело, и дрво живота усред врта, и дрво познања добра и зла."
Постање,2,10,"Из Едема извираше вода и натапаше врт, а оданде се делијаше у четири реке."
Постање,2,11,"Једној је, име Фисон и она тече око целе земље Евилске, у којој има злата."
Постање,2,12,Злато је те земље чисто. Ту има и бдела и драгога камена оникса.
Постање,2,13,Другој реци је име Геон. Она тече око целе земље Хуске.
Постање,2,14,Трећој је реци име Хидекел. Она тече источно од Асирије. Четврта је река Еуфрат.
Постање,2,15,"Господ, Бог, узе човека и намести га у врту Едемском да га ради и да га чува."
Постање,2,16,"Господ, Бог, даде човеку ову заповест: Једи слободно са свакога дрвета у врту;"
Постање,2,17,"али с дрвета познања добра и зла не једи, јер у који дан окусиш с њега умрећеш."
Постање,2,18,"Господ, Бог, рече: Није добро да је човек сам. Начинићу му помоћника њему слична."
Постање,2,19,"Господ, Бог, створи од земље све животиње пољске и све птице небеске, и доведе их к човеку, да види како ће коју назвати, па да свако живо створење носи име које му буде човек дао."
Постање,2,20,И човек даде име свакој животињи и свакој птици небеској и свакој звери пољској; али се за човека не нађе помоћник који би био њему сличан.
Постање,2,21,"Господ, Бог, пусти тад тврд сан на човека, који заспа; узе му једно ребро и приљуби месо на месту његовом."
Постање,2,22,"Господ, Бог, створи жену од ребра које узе човеку, и доведе је к човеку."
Постање,2,23,"И човек рече: Ево оне која је кост од мојих кости и пут од моје пути. Нека јој буде име жена човекова, јер је узета од човека."
Постање,2,24,За то ће човек оставити оца свога и матер своју и прионуће уз жену своју и биће њих двоје једна пут.
Постање,2,25,"Човек и жена његова беху обоје голи, и не беше их срамота."
Постање,3,1,"Змија беше најлукавија од свих животиња пољских које створи Господ, Бог. И она рече жени: Је ли баш казао Бог: Нећете јести са свакога дрвета у врту?"
Постање,3,2,Жена одговори змији: Ми једемо плод са свих дрвета у врту;
Постање,3,3,"само за плод с дрвета усред врта казао је Бог: Не једите га и не дирајте у њ, да не умрете."
