book,chapter,verse,text,lemmatized
Постање,1,1,У почетку створи Бог небо и земљу.,у почетку створи бог небо и земљу .
Постање,1,2,"Земља беше пуста и празна; над безданом беше тама, и дух Божји лебдијаше над водама.","земља беше пуста и празна ; над безданом беше тама , и дух божји лебдијаше над водама ."
Постање,1,3,Бог рече: Нека буде светлост. И би светлост.,бог рече : нека буде светлост . и би светлост .
Постање,1,4,Бог виде да је светлост добра; и Бог растави светлост од таме.,бог виде да је светлост добра ; и бог растави светлост од таме .
Постање,1,5,"Светлост назва Бог дан, а таму назва ноћ. Тако би вече и би затим јутро. То је био први дан.","светлост назва бог дан , а таму назва ноћ . тако би вече и би затим јутро . то је био први дан ."
Постање,1,6,"Бог рече: Нека буде простор између вода, да раставља воде од вода.","бог рече : нека буде простор између вода , да раставља воде од вода ."
Постање,1,7,"И Бог створи простор, и растави воде под простором од вода над простором. И би тако.","и бог створи простор , и растави воде под простором од вода над простором . и би тако ."
Постање,1,8,"Простор назва Бог небо. И би вече, и би јутро, и то је био други дан.","простор назва бог небо . и би вече , и би јутро , и то је био други дан ."
Постање,1,9,"Бог рече: Нека се саберу воде што су под небом на једно место, и нека се покаже сухо. И би тако.","бог рече : нека се саберу воде што су под небом на једно место , и нека се покаже сухо . и би тако ."
Постање,1,10,"Сухо назва Бог земљом, а зборишта водена назва морима. И Бог виде да је то добро.","сухо назва бог земљом , а зборишта водена назва морима . и бог виде да је то добро ."
Постање,1,11,"Затим Бог рече: Нека пусти земља из себе траву, биље што носи семе, и дрвеће родно, које даје плод по врстама својим, у коме ће бити семе његово на земљи. И би тако.","затим бог рече : нека пусти земља из себе траву , биље што носи семе , и дрвеће родно , које даје плод по врстама својим , у коме ће бити семе његово на земљи . и би тако ."
Постање,1,12,"И земља пусти из себе траву, биље што носи семе по врстама својим, и дрвеће које даје плод, у коме је семе његово по врстама његовим. И Бог виде да је то добро.","и земља пусти из себе траву , биље што носи семе по врстама својим , и дрвеће које даје плод , у коме је семе његово по врстама његовим . и бог виде да је то добро ."
Постање,1,13,"И би вече и би јутро, и то је био трећи дан.","и би вече и би јутро , и то је био трећи дан ."
Постање,1,14,"Бог рече: Нека буду светлила у простору небеском, да деле дан и ноћ, да буду знаци који ће обележити времена, дане и године;","бог рече : нека буду светлила у простору небеском , да деле дан и ноћ , да буду знаци који ће обележити времена , дане и године ;"
Постање,1,15,"и нека светле на простору небеском, да обасјавају земљу. И би тако.","и нека светле на простору небеском , да обасјавају земљу . и би тако ."
Постање,1,16,"И Бог створи два светлила велика: светлило веће, да управља даном, и светлило мање, да управља ноћу, и створи и звезде.","и бог створи два светлила велика : светлило веће , да управља даном , и светлило мање , да управља ноћу , и створи и звезде ."
Постање,1,17,"Бог их постави у простор небески, да обасјавају земљу","бог их постави у простор небески , да обасјавају земљу"
Постање,1,18,и да управљају даном и ноћу и да деле светлост од таме. И Бог виде да је то добро.,и да управљају даном и ноћу и да деле светлост од таме . и бог виде да је то добро .
Постање,1,19,"И би вече и би јутро, и то је био четврти дан.","и би вече и би јутро , и то је био четврти дан ."
Постање,1,20,Бог рече: Нек проврве воде живим животињама и нека лете птице изнад земље к простору небескоме.,бог рече : нек проврве воде живим животињама и нека лете птице изнад земље к простору небескоме .
Постање,1,21,"И Бог створи рибе велике и све живе животиње што се мичу, које проврвеше по водама, по врстама својим, и све птице крилате, по врстама њиховим. И Бог виде да је то добро.","и бог створи рибе велике и све живе животиње што се мичу , које проврвеше по водама , по врстама својим , и све птице крилате , по врстама њиховим . и бог виде да је то добро ."
Постање,1,22,"И Бог их благослови говорећи: Рађајте се, множите се и напуните воде морске; и птице нек се множе на земљи.","и бог их благослови говорећи : рађајте се , множите се и напуните воде морске ; и птице нек се множе на земљи ."
Постање,1,23,"И би вече и би јутро, и то је био пети дан.","и би вече и би јутро , и то је био пети дан ."
Постање,1,24,"Бог рече: Нека земља пусти из себе живе животиње, по врстама њиховим, стоку, гмизавце и звери земаљске по врстама њиховим. И би тако.","бог рече : нека земља пусти из себе живе животиње , по врстама њиховим , стоку , гмизавце и звери земаљске по врстама њиховим . и би тако ."
Постање,1,25,"И Бог створи животиње земаљске, по врстама њиховим, и стоку по врстама њезиним, и све гмизавце на земљи по врстама њиховим. И Бог виде да је то добро.","и бог створи животиње земаљске , по врстама њиховим , и стоку по врстама њезиним , и све гмизавце на земљи по врстама њиховим . и бог виде да је то добро ."
Постање,1,26,"Затим Бог рече: Да начинимо човека по обличју и по прилици нашој, па нека има он власт над рибама морским и над птицама небеским и над животињама и над целом земљом, и над свим гмизавцима који гамижу по земљи.","затим бог рече : да начинимо човека по обличју и по прилици нашој , па нека има он власт над рибама морским и над птицама небеским и над животињама и над целом земљом , и над свим гмизавцима који гамижу по земљи ."
Постање,1,27,И Бог створи човека по обличју своме; по обличју Божјему створи га; створи човека и жену.,и бог створи човека по обличју своме ; по обличју божјему створи га ; створи човека и жену .
Постање,1,28,"И благослови их, и рече им Бог: Рађајте се, множите се и напуните земљу, и владајте њом, и имајте власт над рибама морским и над птицама небеским, и над свим животињама које се по земљи мичу.","и благослови их , и рече им бог : рађајте се , множите се и напуните земљу , и владајте њом , и имајте власт над рибама морским и над птицама небеским , и над свим животињама које се по земљи мичу ."
Постање,1,29,Још рече Бог: Ево дајем вам све биље што носи семе по свој земљи и сва дрвета родна која семе носе. То да вам је за храну вашу.,још рече бог : ево дајем вам све биље што носи семе по свој земљи и сва дрвета родна која семе носе . то да вам је за храну вашу .
Постање,1,30,"А свим животињама земаљским и свим птицама небеским, и свему што се миче на земљи, и у чему има даха живота, дајем сву траву зелену за храну. И би тако.","а свим животињама земаљским и свим птицама небеским , и свему што се миче на земљи , и у чему има даха живота , дајем сву траву зелену за храну . и би тако ."
