book,chapter,verse,text,lemmatized
Постанак,1,1,У почетку створи Бог небо и земљу.,у почетку створи бог небо и земљу .
Постанак,1,2,"А земља бјеше без обличја и пуста, и бјеше тама над безданом; и дух Божји дизаше се над водом.","а земља бјеше без обличја и пуста , и бјеше тама над безданом ; и дух божји дизаше се над водом ."
Постанак,1,3,И рече Бог: нека буде свјетлост. И би свјетлост.,и рече бог : нека буде свјетлост . и би свјетлост .
Постанак,1,4,И видје Бог свјетлост да је добра; и растави Бог свјетлост од таме.,и видје бог свјетлост да је добра ; и растави бог свјетлост од таме .
Постанак,1,5,"И свјетлост назва Бог дан, а таму назва ноћ. И би вече и би јутро, дан први.","и свјетлост назва бог дан , а таму назва ноћ . и би вече и би јутро , дан први ."
Постанак,1,6,"Потом рече Бог: нека буде свод посред воде, да раставља воду од воде.","потом рече бог : нека буде свод посред воде , да раставља воду од воде ."
Постанак,1,7,"И створи Бог свод, и растави воду под сводом од воде над сводом; и би тако.","и створи бог свод , и растави воду под сводом од воде над сводом ; и би тако ."
Постанак,1,8,"А свод назва Бог небо. И би вече и би јутро, дан други.","а свод назва бог небо . и би вече и би јутро , дан други ."
Постанак,1,9,"Потом рече Бог: нека се сабере вода што је под небом на једно мјесто, и нека се покаже сухо. И би тако.","потом рече бог : нека се сабере вода што је под небом на једно мјесто , и нека се покаже сухо . и би тако ."
Постанак,1,10,"И сухо назва Бог земља, а зборишта водена назва мора; и видје Бог да је добро.","и сухо назва бог земља , а зборишта водена назва мора ; и видје бог да је добро ."
Постанак,1,11,"Опет рече Бог: нека пусти земља из себе траву, биље, што носи сјеме, и дрво родно, које рађа род по својим врстама, у којем ће бити сјеме његово на земљи. И би тако.","опет рече бог : нека пусти земља из себе траву , биље , што носи сјеме , и дрво родно , које рађа род по својим врстама , у којем ће бити сјеме његово на земљи . и би тако ."
Постанак,1,12,"И пусти земља из себе траву, биље, што носи сјеме по својим врстама, и дрво, које рађа род, у којем је сјеме његово по његовијем врстама. И видје Бог да је добро.","и пусти земља из себе траву , биље , што носи сјеме по својим врстама , и дрво , које рађа род , у којем је сјеме његово по његовијем врстама . и видје бог да је добро ."
Постанак,1,13,"И би вече и би јутро, дан трећи.","и би вече и би јутро , дан трећи ."
Постанак,1,14,"Потом рече Бог: нека буду видјела на своду небеском, да дијеле дан и ноћ, да буду знаци временима и данима и годинама;","потом рече бог : нека буду видјела на своду небеском , да дијеле дан и ноћ , да буду знаци временима и данима и годинама ;"
Постанак,1,15,"И нека свијетле на своду небеском, да обасјавају земљу. И би тако.","и нека свијетле на своду небеском , да обасјавају земљу . и би тако ."
Постанак,1,16,"И створи Бог два видјела велика: видјело веће да управља даном, и видјело мање да управља ноћу, и звијезде.","и створи бог два видјела велика : видјело веће да управља даном , и видјело мање да управља ноћу , и звијезде ."
Постанак,1,17,И постави их Бог на своду небеском да обасјавају земљу.,и постави их бог на своду небеском да обасјавају земљу .
Постанак,1,18,"И да управљају даном и ноћу, и да дијеле свјетлост од таме. И видје Бог да је добро.","и да управљају даном и ноћу , и да дијеле свјетлост од таме . и видје бог да је добро ."
Постанак,1,19,"И би вече и би јутро, дан четврти.","и би вече и би јутро , дан четврти ."
Постанак,1,20,"Потом рече Бог: нека врве по води живе душе, и птице нека лете изнад земље под свод небески.","потом рече бог : нека врве по води живе душе , и птице нека лете изнад земље под свод небески ."
Постанак,1,21,"И створи Бог китове велике и све живе душе што се мичу, што проврвјеше по води по врстама својим, и све птице крилате по врстама њиховијем. И видје Бог да је добро;","и створи бог китове велике и све живе душе што се мичу , што проврвјеше по води по врстама својим , и све птице крилате по врстама њиховијем . и видје бог да је добро ;"
Постанак,1,22,"И благослови их Бог говорећи: рађајте се и множите се, и напуните воду по морима, и птице нека се множе на земљи.","и благослови их бог говорећи : рађајте се и множите се , и напуните воду по морима , и птице нека се множе на земљи ."
