book,chapter,verse,text,lemmatized
Постанак,1,1,У почетку створи Бог небо и земљу.,u početak stvoriti Bog nebo i zemlja .
Постанак,1,2,"А земља бјеше без обличја и пуста, и бјеше тама над безданом; и дух Божји дизаше се над водом.","a zemlja biti bez obličje i pust , i biti tama nad bezdan ; i duh božji dizati sebe nad voda ."
Постанак,1,3,И рече Бог: нека буде свјетлост. И би свјетлост.,i reći Bog : neka biti svetlost . i biti svetlost .
Постанак,1,4,И видје Бог свјетлост да је добра; и растави Бог свјетлост од таме.,i videti Bog svetlost da biti dobar ; i rastaviti Bog svetlost od tama .
Постанак,1,5,"И свјетлост назва Бог дан, а таму назва ноћ. И би вече и би јутро, дан први.","i svetlost nazvati Bog dan , a tama nazvati noć . i biti veče i biti jutro , dan prvi ."
Постанак,1,6,"Потом рече Бог: нека буде свод посред воде, да раставља воду од воде.","potom reći Bog : neka biti svod posred voda , da rastavljati voda od voda ."
Постанак,1,7,"И створи Бог свод, и растави воду под сводом од воде над сводом; и би тако.","i stvoriti Bog svod , i rastaviti voda pod svod od voda nad svod ; i biti tako ."
Постанак,1,8,"А свод назва Бог небо. И би вече и би јутро, дан други.","a svod nazvati Bog nebo . i biti veče i biti jutro , dan drugi ."
Постанак,1,9,"Потом рече Бог: нека се сабере вода што је под небом на једно мјесто, и нека се покаже сухо. И би тако.","potom reći Bog : neka sebe sabrati voda što biti pod nebo na jedan mesto , i neka sebe pokazati suh . i biti tako ."
Постанак,1,10,"И сухо назва Бог земља, а зборишта водена назва мора; и видје Бог да је добро.","i suho nazvati Bog zemlja , a zborište voden nazvati morati ; i videti Bog da biti dobar ."
Постанак,1,11,"Опет рече Бог: нека пусти земља из себе траву, биље, што носи сјеме, и дрво родно, које рађа род по својим врстама, у којем ће бити сјеме његово на земљи. И би тако.","opet reći Bog : neka pustiti zemlja iz sebe trava , bilje , što nositi sjeme , i drvo rodan , koji rađati rod po svoj vrsta , u koji hteti biti sjeme njegov na zemlja . i biti tako ."
Постанак,1,12,"И пусти земља из себе траву, биље, што носи сјеме по својим врстама, и дрво, које рађа род, у којем је сјеме његово по његовијем врстама. И видје Бог да је добро.","i pustiti zemlja iz sebe trava , bilje , što nositi sjeme po svoj vrsta , i drvo , koji rađati rod , u koji biti sjeme njegov po njegovij vrsta . i videti Bog da biti dobar ."
Постанак,1,13,"И би вече и би јутро, дан трећи.","i biti veče i biti jutro , dan treći ."
Постанак,1,14,"Потом рече Бог: нека буду видјела на своду небеском, да дијеле дан и ноћ, да буду знаци временима и данима и годинама;","potom reći Bog : neki biti videti na svod nebeski , da deliti dan i noć , da biti značiti vreme i dan i godina ;"
Постанак,1,15,"И нека свијетле на своду небеском, да обасјавају земљу. И би тако.","i neka svetao na svod nebeski , da obasjavati zemlja . i biti tako ."
Постанак,1,16,"И створи Бог два видјела велика: видјело веће да управља даном, и видјело мање да управља ноћу, и звијезде.","i stvoriti Bog dva videti velik : videti velik da upravljati dan , i videti malo da upravljati noću , i zvezda ."
Постанак,1,17,И постави их Бог на своду небеском да обасјавају земљу.,i postaviti oni Bog na svod nebeski da obasjavati zemlja .
