book,chapter,verse,text
Матеј,1,1,"Родослов Исуса Христа, сина Давидова, Авраамова сина."
Матеј,1,2,Авраам роди Исака. А Исак роди Јакова. А Јаков роди Јуду и браћу његову.
Матеј,1,3,А Јуда роди Фареса и Зару с Тамаром. А Фарес роди Есрома. А Есром роди Арама.
Матеј,1,4,А Арам роди Аминадава. А Аминадав роди Наасона. А Наасон роди Салмона.
Матеј,1,5,А Салмон роди Вооза с Рахавом. А Вооз роди Овида с Рутом. А Овид роди Јесеја.
Матеј,1,6,А Јесеј роди Давида цара. А Давид цар роди Соломона са Уријиницом.
Матеј,1,7,А Соломон роди Ровоама. А Ровоам роди Авију. А Авија роди Асу.
Матеј,1,8,А Аса роди Јосафата. А Јосафат роди Јорама. А Јорам роди Озију.
Матеј,1,9,А Озија роди Јоатама. А Јоатам роди Ахаза. А Ахаз роди Језекију.
Матеј,1,10,А Језекија роди Манасију. А Манасија роди Амона. А Амон роди Јосију.
Матеј,1,11,"А Јосија роди Јехонију и браћу његову, у сеоби вавилонској."
Матеј,1,12,"А по сеоби вавилонској, Јехонија роди Салатила. А Салатил роди Зоровавеља."
Матеј,1,13,А Зоровавељ роди Авиуда. А Авиуд роди Елиакима. А Елиаким роди Азора.
Матеј,1,14,А Азор роди Садока. А Садок роди Ахима. А Ахим роди Елиуда.
Матеј,1,15,А Елиуд роди Елеазара. А Елеазар роди Матана. А Матан роди Јакова.
Матеј,1,16,"А Јаков роди Јосифа, мужа Марије, од које се роди Исус звани Христос."
Матеј,1,17,"Свега, дакле, кољена од Авраама до Давида, кољена четрнаест, а од Давида до сеобе вавилонске кољена четрнаест, и од сеобе вавилонске до Христа, кољена четрнаест."
Матеј,1,18,"А рођење Исуса Христа овако би: Кад је мати његова Марија била обручена Јосифу, а прије него што се бјеху састали, нађе се да је затруднила од Духа Светога."
Матеј,1,19,"А Јосиф муж њезин, будући праведан и не хотећи је јавно изобличити, намисли је тајно отпустити."
Матеј,1,20,"Но кад он тако помисли, гле, јави му се у сну анђео Господњи говорећи: Јосифе, сине Давидов, не бој се узети Марију жену своју; јер оно што се у њој зачело од Духа је Светога."
Матеј,1,21,"Па ће родити сина, и надјени му име Исус: јер ће он спасти народ свој од гријеха њихових."
Матеј,1,22,А све се ово догодило да се испуни што је Господ казао преко пророка који говори:
Матеј,1,23,"Ето, дјевојка ће зачети, и родиће сина, и надјенуће му име Емануил, што ће рећи: С нама Бог."
Матеј,1,24,"Уставши Јосиф од сна, учини како му заповједи анђео Господњи и узе жену своју."
Матеј,1,25,"И не знадијаше за њу док не роди сина својега првенца, и надјену му име Исус."
Матеј,2,1,"А када се Исус роди у Витлејему јудејскоме у дане Ирода цара, гле, дођоше мудраци од Истока у Јерусалим и рекоше:"
Матеј,2,2,Гдје је цар јудејски који се роди? Јер видјесмо његову звијезду на Истоку и дођосмо да му се поклонимо.
Матеј,2,3,"Када то чу цар Ирод, уплаши се, и сав Јерусалим са њим."
Матеј,2,4,"И сабравши све првосвештенике и књижевнике народне, питаше их гдје ће се Христос родити."
Матеј,2,5,А они рекоше: У Витлејему јудејскоме; јер је тако пророк написао:
Матеј,2,6,"И ти Витлејеме, земљо Јудина, ни по чем ниси најмањи међу кнежевима Јудиним; јер ће из тебе изићи Вођа који ће напасати народ мој Израиља."
Матеј,2,7,"Онда Ирод, тајно дозвавши мудраце, сазнаде од њих када се појавила звијезда."
Матеј,2,8,"И пославши их у Витлејем, рече: Идите и распитајте се добро за дијете, па када га нађете, јавите ми, да и ја дођем да му се поклоним,"
Матеј,2,9,"А они, саслушавши цара, пођоше, и гле, звијезда, коју су видјели на Истоку, иђаше пред њима док не дође и стаде одозго гдје бјеше дијете."
Матеј,2,10,"А кад видјеше звијезду, обрадоваше се веома великом радости."
Матеј,2,11,"И ушавши у кућу, видјеше дијете са Маријом матером његовом, и падоше и поклонише му се, па отворивши ризнице своје принесоше му даре: злато, тамјан и смирну."
Матеј,2,12,"И примивши у сну заповјест да се не враћају Ироду, другим путем отидоше у земљу своју."
Матеј,2,13,"А кад они отидоше, а то анђео Господњи јави се Јосифу у сну и рече: Устани, узми дијете и матер његову, па бјежи у Египат, и буди ондје док ти не кажем: јер ће Ирод тражити дијете да га погуби."
Матеј,2,14,"И он уставши, узе дијете и матер његову ноћу и отиде у Египат."
Матеј,2,15,И би тамо до смрти Иродове - да се испуни што је Господ рекао преко пророка који говори: Из Египта дозвах сина својега.
Матеј,2,16,"Тада Ирод, видјев да су га мудраци преварили, разгњеви се веома и посла те погуби сву дјецу по Витлејему и по свој околини његовој од двије године и ниже, по времену које је тачно дознао од мудраца."
Матеј,2,17,Тада се испуни што је рекао пророк Јеремија говорећи:
Матеј,2,18,"Глас у Рами чу се, плач и ридање и нарицање много, Рахиља оплакује дјецу своју, и неће да се утјеши, јер их нема."
Матеј,2,19,"А по смрти Иродовој, гле, анђео Господњи јави се у сну Јосифу у Египту."
Матеј,2,20,"И рече: Устани, узми дијете и матер његову и иди у земљу Израиљеву; јер су помрли они који су тражили душу дјетета."
Матеј,2,21,"А он уставши, узе дијете и матер његову, и дође у земљу Израиљеву."
Матеј,2,22,"Али чувши да Архелај царује у Јудеји умјесто Ирода, оца својега, побоја се онамо ићи, него, примивши у сну заповијест, отиде у крајеве галилејске."
Матеј,2,23,"И дошавши настани се у граду званом Назарет, да се испуни што су рекли пророци да ће се Назарећанин назвати."
Матеј,3,1,У оне пак дане дође Јован Крститељ и проповиједаше у пустињи Јудејској.
Матеј,3,2,"И говораше: Покајте се, јер се приближило Царство небеско."
Матеј,3,3,"Јер то је онај за кога је рекао пророк Исаија говорећи: Глас вапијућег у пустињи: припремите пут Господњи, поравните стазе његове."
Матеј,3,4,"А сам Јован имаше хаљину од камиље длаке и појас кожни око бедара својих, а храна му бијаше биље и дивљи мед."
Матеј,3,5,"Тада излажаше к њему Јерусалим и сва Јудеја, и сва околина јорданска."
Матеј,3,6,"И он их крштаваше у Јордану, и исповиједаху гријехе своје."
Матеј,3,7,"А кад видје многе фарисеје и садукеје гдје долазе да их крсти, рече им: Породи аспидини, ко вам каза да бјежите од гњева који иде?"
Матеј,3,8,"Родите, дакле, род достојан покајања."
Матеј,3,9,И не мислите и не говорите у себи: Имамо оца Авраама; јер вам кажем да може Бог и од камења овога подигнуги дјецу Аврааму.
Матеј,3,10,"А већ и сјекира код коријена дрвећу стоји; свако, дакле, дрво које не рађа добра рода, сијече се и у огањ баца."
Матеј,3,11,Ја вас крштавам водом за покајање; а онај што долази за мном јачи је од мене: ја нисам достојан њему обуће понијети; он ће вас крстити Духом Светим и огњем.
Матеј,3,12,"Њему је лопата у руци па ће отријебити гумно своје, и скупиће пшеницу своју у житницу, а пљеву ће сажећи огњем неугасивим."
Матеј,3,13,Тада дође Исус из Галилеје на Јордан Јовану да га овај крсти.
Матеј,3,14,"А Јован му брањаше говорећи: Ти треба мене да крстиш, а ти ли долазиш мени?"
Матеј,3,15,"А Исус одговори и рече му: Остави сада, јер тако нам треба испунити сваку правду. Тада га остави."
