book,chapter,verse,text,lemmatized
Матеј,1,1,"Родослов Исуса Христа, сина Давидова, Авраамова сина.","rodoslov Isus Hrist , sin Davidov , Avraamov sin ."
Матеј,1,2,Авраам роди Исака. А Исак роди Јакова. А Јаков роди Јуду и браћу његову.,Avraam roditi Isak . a Isak roditi Jakov . a Jakov roditi Juda i braća njegov .
Матеј,1,3,А Јуда роди Фареса и Зару с Тамаром. А Фарес роди Есрома. А Есром роди Арама.,a Juda roditi Fares i Zara sa Tamara . a Fares roditi Esrom . a Esrom roditi ara .
Матеј,1,4,А Арам роди Аминадава. А Аминадав роди Наасона. А Наасон роди Салмона.,a Aram roditi Aminadav . a Aminadav roditi Naason . a Naason roditi Salmon .
Матеј,1,5,А Салмон роди Вооза с Рахавом. А Вооз роди Овида с Рутом. А Овид роди Јесеја.,a Salmon roditi Vooz sa Rahavo . a Vooz roditi ovid sa ruta . a Ovid roditi Jesej .
Матеј,1,6,А Јесеј роди Давида цара. А Давид цар роди Соломона са Уријиницом.,a Jesej roditi David car . a David car roditi Solomon sa Urijinica .
Матеј,1,7,А Соломон роди Ровоама. А Ровоам роди Авију. А Авија роди Асу.,a Solomon roditi Rovoama . a Rovoam roditi Avi . a Avi roditi as .
Матеј,1,8,А Аса роди Јосафата. А Јосафат роди Јорама. А Јорам роди Озију.,a as roditi Josafat . a Josafat roditi Jorama . a Joram roditi Oži .
Матеј,1,9,А Озија роди Јоатама. А Јоатам роди Ахаза. А Ахаз роди Језекију.,a Ozija roditi Joatam . a Joatam roditi Ahaz . a Ahaz roditi Jezekija .
Матеј,1,10,А Језекија роди Манасију. А Манасија роди Амона. А Амон роди Јосију.,a Jezekija roditi Manasija . a Manasija roditi Amon . a Amon roditi Josi .
Матеј,1,11,"А Јосија роди Јехонију и браћу његову, у сеоби вавилонској.","a Josija roditi Jehonija i braća njegov , u seoba vavilonski ."
Матеј,1,12,"А по сеоби вавилонској, Јехонија роди Салатила. А Салатил роди Зоровавеља.","a po seoba vavilonski , Jehonija roditi Salatil . a Salatil roditi Zorovavelj ."
Матеј,1,13,А Зоровавељ роди Авиуда. А Авиуд роди Елиакима. А Елиаким роди Азора.,a Zorovavelj roditi Aviud . a Aviud roditi Eliak . a Eliaki roditi Azor .
Матеј,1,14,А Азор роди Садока. А Садок роди Ахима. А Ахим роди Елиуда.,a Azor roditi Sadok . a Sadok roditi Ahim . a Ahim roditi Eliud .
Матеј,1,15,А Елиуд роди Елеазара. А Елеазар роди Матана. А Матан роди Јакова.,a Eliud roditi Eleazar . a Eleazar roditi Matan . a Matan roditi Jakov .
Матеј,1,16,"А Јаков роди Јосифа, мужа Марије, од које се роди Исус звани Христос.","a Jakov roditi Josif , muž Marija , od koji sebe roditi Isus zvan Hristos ."
Матеј,1,17,"Свега, дакле, кољена од Авраама до Давида, кољена четрнаест, а од Давида до сеобе вавилонске кољена четрнаест, и од сеобе вавилонске до Христа, кољена четрнаест.","sav , dakle , koleno od Avram do David , koleno četrnaest , a od David do seoba vavilonski koleno četrnaest , i od seoba vavilonski do Hrist , koleno četrnaest ."
Матеј,1,18,"А рођење Исуса Христа овако би: Кад је мати његова Марија била обручена Јосифу, а прије него што се бјеху састали, нађе се да је затруднила од Духа Светога.","a rođenje Isus Hrist ovako biti : kad biti Mati njegov Marija biti obručiti Josif , a pre nego što sebe biti sastati , naći sebe da biti zatrudniti od duh svet ."
Матеј,1,19,"А Јосиф муж њезин, будући праведан и не хотећи је јавно изобличити, намисли је тајно отпустити.","a Josif muž njezin , budući pravedan i ne hteti biti javno izobličiti , namisao biti tajno otpustiti ."
